filename,slide_id,specimen_id,species,clade,image_type,mounting,pixel_size_um,preservation,analysis_set,sra_accession,genome_accession,notes
Process_449_green.ome.tiff,449,109595,D. marmoratus,,pmount,dry,0.12,Fixed,True,SRX19954879,GCA_031753695.1,
Process_450_green.ome.tiff,450,166183,D. aeneus,,pmount,pmount,0.12,Fixed,True,SRX19953415,GCA_030264635.1,
Process_451_green.ome.tiff,451,166183,D. aeneus,,pmount,pmount,0.12,Fixed,True,SRX19953415,GCA_030264635.1,
Process_452_green.ome.tiff,452,168277,D. aeneus,,pmount,pmount,0.12,Fixed,True,SRX19953415,GCA_030264635.1,
Process_453_green.ome.tiff,453,168277,D. aeneus,,pmount,pmount,0.12,Fixed,True,SRX19953415,GCA_030264635.1,
Process_454_green.ome.tiff,454,92228,D. aureatus,,pmount,pmount,0.12,Fixed,True,SRX20502577,GCA_032274985.1,
Process_455_green.ome.tiff,455,166185,D. auriculatus,,pmount,pmount,0.12,Fixed,True,SRX19953419,GCA_030264895.1,
Process_456_green.ome.tiff,456,166186,,,pmount,pmount,0.12,Fixed,False,,,
Process_457_green.ome.tiff,457,110793,D. brimleyorum,,pmount,pmount,0.12,Fixed,True,,,
Process_458_green.ome.tiff,458,32524,D. imitator,,pmount,pmount,0.12,Fixed,True,,,
Process_459_green.ome.tiff,459,166184,D. auriculatus,,pmount,pmount,0.12,Fixed,True,SRX19953419,GCA_030264895.1,
Process_460_green.ome.tiff,460,92227,D. aureatus,,pmount,pmount,0.12,Fixed,True,SRX20502577,GCA_032274985.1,
Process_461_green.ome.tiff,461,168495,D. brimleyorum,,pmount,pmount,0.12,Fixed,True,,,
Process_462_green.ome.tiff,462,168405,D. brimleyorum,,pmount,pmount,0.12,Fixed,True,,,
Process_463_green.ome.tiff,463,52826,D. gvnigeusgwotli,,pmount,pmount,0.12,Fixed,True,SRX20502827,GCA_032353775.1,
Process_464_green.ome.tiff,464,220651,D. imitator,,pmount,pmount,0.12,Fixed,True,,,
Process_465_green.ome.tiff,465,92122,D. cheaha,,pmount,pmount,0.12,Fixed,True,SRX20502857,GCA_032353815.1,
Process_466_green.ome.tiff,466,9210,,,pmount,pmount,0.12,Fixed,False,,,
Process_467_green.ome.tiff,467,92196,D. cheaha,,pmount,pmount,0.12,Fixed,True,SRX20502857,GCA_032353815.1,
Process_468_green.ome.tiff,468,32469,D. fuscus,,pmount,pmount,0.12,Fixed,True,SRX20497025,GCA_032353935.1,
Process_469_green.ome.tiff,469,32469,D. fuscus,,pmount,pmount,0.12,Fixed,True,SRX20497025,GCA_032353935.1,
